Fine-tuned CLIP Misclassifications
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_000053.jpg (conf: 0.4989)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_001508.jpg (conf: 0.4862)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_002336.jpg (conf: 0.4456)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/pixabay_wild_000535.jpg (conf: 0.4299)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_000149.jpg (conf: 0.4570)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_000064.jpg (conf: 0.4934)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_001457.jpg (conf: 0.4470)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/pixabay_wild_000420.jpg (conf: 0.1969)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_001862.jpg (conf: 0.4844)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_003380.jpg (conf: 0.4836)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/flickr_wild_003246.jpg (conf: 0.4853)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/wild/pixabay_wild_000393.jpg (conf: 0.4721)

False Negatives (Fake → Real): 44
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed7836.png (conf: 0.4609)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed4491.png (conf: 0.4882)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed1206.png (conf: 0.4795)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed9187.png (conf: 0.4939)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed3160.png (conf: 0.4789)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed2322.png (conf: 0.4582)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed1725.png (conf: 0.4563)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed8097.png (conf: 0.3916)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed3139.png (conf: 0.4417)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed3566.png (conf: 0.4540)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed5953.png (conf: 0.4283)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed3858.png (conf: 0.3318)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed8217.png (conf: 0.4746)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed1938.png (conf: 0.3594)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed6992.png (conf: 0.3850)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed1498.png (conf: 0.3190)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-t-afhqv2-512x512/seed0233.png (conf: 0.4513)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed9580.png (conf: 0.4434)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed2621.png (conf: 0.3751)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed5798.png (conf: 0.4649)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed4660.png (conf: 0.3263)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed4617.png (conf: 0.4579)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed3995.png (conf: 0.2921)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed8125.png (conf: 0.3357)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed1087.png (conf: 0.2451)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed4923.png (conf: 0.4066)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed1370.png (conf: 0.4200)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed4906.png (conf: 0.4982)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed8256.png (conf: 0.4500)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed0318.png (conf: 0.4946)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed9064.png (conf: 0.4299)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed1273.png (conf: 0.4426)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed3970.png (conf: 0.2643)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed0968.png (conf: 0.4065)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed0215.png (conf: 0.4529)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed2303.png (conf: 0.4873)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed3630.png (conf: 0.4764)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed9942.png (conf: 0.4184)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed2246.png (conf: 0.2656)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed5955.png (conf: 0.4882)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed5348.png (conf: 0.4802)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed0500.png (conf: 0.4604)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed0688.png (conf: 0.4100)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/FakeImageDataset/ImageData/val/stylegan3-60K/stylegan3-60K/stylegan3-r-afhqv2-512x512/seed7289.png (conf: 0.2829)
